,feature,Ranking
1299,GALNT11.1,43
1300,B4GALT7,72
1301,PHF13,43
1302,SBF2,1
1303,LMAN1L,6
1304,TMEM105,34
1305,ZFYVE26,6
1306,SULT6B1,72
1307,NKX6.3,126
1308,STIM1.1,119
1309,SSTR4.1,110
1310,CYB5R4,114
1311,FGF6,66
1312,ABCA7,9
1313,ARFGAP2,78
1314,LEMD2,54
1315,GPR101,74
1316,LOC389458,89
1317,RANBP2,1
1318,ENO2,3
1319,HLCS,51
1320,HDAC2,112
1321,ZNF131,92
1322,ZNF814.1,83
1323,RPL10L,60
1324,GDF7,116
1325,AVPR2,122
1326,GFM1,75
1327,C4orf37,40
1328,SIGLEC14,130
1329,SALL2,34
1330,KIAA1919,116
1331,TBKBP1,1
1332,EGF,112
1333,NCOA5,17
1334,PITRM1,66
1335,SSR2,122
1336,WNT5A,113
1337,TMF1,6
1338,FXYD7,33
1339,TRIM65,97
1340,RNF114,94
1341,TSPAN13,62
1342,ZHX2,55
1343,S100A10,1
1344,FKBP8,29
1345,RPRM,49
1346,RSRC1,1
1347,COX6B1.1,86
1348,TXNDC11,37
1349,CLN6,95
1350,BOC,38
1351,DYNLRB1,40
1352,ADCY8,100
1353,STK38L,72
1354,ZW10.1,57
