,feature,Ranking
797,ARIH2,84
798,ARL1,22
799,ARL10,81
800,ARL11,120
801,ARL13A,7
802,ARL13B,7
803,ARL14,142
804,ARL15,28
805,ARL16,48
806,ARL2BP,137
807,ARL3,72
808,ARL4A,143
809,ARL4C,131
810,ARL5A,123
811,ARL5B,131
812,ARL5C,1
813,ARL6,124
814,ARL6IP1,15
815,ARL6IP5,72
816,ARL6IP6,54
817,ARL8A,7
818,ARL8B,85
819,ARL9,77
820,ARMC1,63
821,ARMC10,10
822,ARMC2,125
823,ARMC3,107
824,ARMC4,41
825,ARMC5,81
826,ARMC6,87
827,ARMC7,96
828,ARMC8,146
829,ARMC9,25
830,ARMCX2,1
831,ARMCX3,1
832,ARMCX5,5
833,ARMCX6,1
834,ARMS2,77
835,ARNT,105
836,ARNT2,102
837,ARNTL,62
838,ARNTL2,49
839,ARPC1A,104
840,ARPC1B,102
841,ARPC2,130
842,ARPC3,58
843,ARPC4,51
844,ARPC5,118
845,ARPC5L,38
846,ARPP19,53
847,ARPP21,116
848,ARR3,15
849,ARRB1,37
850,ARRB2,138
851,ARRDC1,135
852,ARRDC2,23
853,ARRDC3,16
854,ARRDC4,122
855,ARRDC5,68
856,ARSB,33
857,ARSG,6
858,ARSI,17
859,ARSJ,94
860,ARSK,100
861,ART1,140
862,ART3,49
863,ART4,49
864,ART5,129
865,ARTN,105
866,ARV1,19
867,ARX,1
868,AS3MT,127
869,ASAH1,31
870,ASAH2B,56
871,ASAP1,5
872,ASAP2,20
873,ASAP3,3
874,ASB1,62
875,ASB10,64
876,ASB12,30
877,ASB14,109
878,ASB15,56
879,ASB16,88
880,ASB17,69
881,ASB18,70
882,ASB2,61
883,ASB3,102
884,ASB4,141
885,ASB5,108
886,ASB6,45
887,ASB7,28
888,ASB8,13
889,ASCC1,23
890,ASCC2,25
891,ASCC3,118
892,ASCL1,38
893,ASCL2,132
894,ASCL3,124
895,ASCL4,119
896,ASF1A,130
897,ASF1B,106
898,ASGR1,46
899,ASGR2,36
900,ASH1L,95
901,ASH2L,12
902,ASIP,59
903,ASL,146
904,ASNA1,90
905,ASNS,15
906,ASNSD1,92
907,ASPA,83
908,ASPG,146
909,ASPH,65
910,ASPHD2,47
911,ASPM,107
912,ASPRV1,139
